"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","metadata_Individuos","metadata_Especies","n_images","HierarchicalSubject"
"63","CAM_6","Didelphis virginiana",2019-10-15 04:13:03,2019-10-15,"04:13:03",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_6/Didelphis_virginiana","I_00008a.JPG","1 ind","Didelphis virginiana",1,"Individuos|1 ind, Especies|Didelphis virginiana"
"64","CAM_7","Odocoileus virginianus",2019-10-03 18:27:10,2019-10-03,"18:27:10",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_7/Odocoileus_virginianus","I_00005a.JPG","1 ind","Odocoileus virginianus",1,"Especies|Odocoileus virginianus, Individuos|1 ind"
"65","CAM_7","Tapirus bairdii",2019-09-21 00:47:57,2019-09-21,"00:47:57",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_7/Tapirus_bairdii","I_00004a.JPG","1 ind","Tapirus bairdii",1,"Especies|Tapirus bairdii, Individuos|1 ind"
"66","CAM_8","Dicotyles crassus",2019-09-13 13:47:31,2019-09-13,"13:47:31",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_8/Dicotyles_crassus","I_00007a.JPG","1 ind","Dicotyles crassus",1,"Especies|Dicotyles crassus, Individuos|1 ind"
"67","CAM_8","Dicotyles crassus",2019-09-17 15:43:53,2019-09-17,"15:43:53",352582,5876.4,97.9,4.1,"UMA_OCOTONES_CHIS/CAM_8/Dicotyles_crassus","I_00010a.JPG","1 ind","Dicotyles crassus",1,"Especies|Dicotyles crassus, Individuos|1 ind"
"68","CAM_8","Dicotyles crassus",2019-09-17 15:45:59,2019-09-17,"15:45:59",126,2.1,0,0,"UMA_OCOTONES_CHIS/CAM_8/Dicotyles_crassus","I_00011a.JPG","3 ind","Dicotyles crassus",1,"Individuos|3 ind, Especies|Dicotyles crassus"
"69","CAM_8","Dicotyles crassus",2019-09-20 03:13:31,2019-09-20,"03:13:31",214052,3567.5,59.5,2.5,"UMA_OCOTONES_CHIS/CAM_8/Dicotyles_crassus","I_00012a.JPG","1 ind","Dicotyles crassus",1,"Especies|Dicotyles crassus, Individuos|1 ind"
"70","CAM_8","Didelphis virginiana",2019-09-15 03:09:50,2019-09-15,"03:09:50",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_8/Didelphis_virginiana","I_00008a.JPG","1 ind","Didelphis virginiana",1,"Individuos|1 ind, Especies|Didelphis virginiana"
"71","CAM_8","Didelphis virginiana",2019-09-16 19:38:11,2019-09-16,"19:38:11",145701,2428.3,40.5,1.7,"UMA_OCOTONES_CHIS/CAM_8/Didelphis_virginiana","I_00009a.JPG","1 ind","Didelphis virginiana",1,"Individuos|1 ind, Especies|Didelphis virginiana"
"72","CAM_8","Odocoileus virginianus",2019-09-25 04:28:04,2019-09-25,"04:28:04",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_8/Odocoileus_virginianus","I_00014a.JPG","1 ind","Odocoileus virginianus",1,"Especies|Odocoileus virginianus, Individuos|1 ind"
"73","CAM_8","Odocoileus virginianus",2019-10-06 11:03:48,2019-10-06,"11:03:48",974144,16235.7,270.6,11.3,"UMA_OCOTONES_CHIS/CAM_8/Odocoileus_virginianus","I_00015a.JPG","1 ind","Odocoileus virginianus",1,"Especies|Odocoileus virginianus, Individuos|1 ind"
"74","CAM_8","Puma concolor",2019-09-22 07:43:51,2019-09-22,"07:43:51",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_8/Puma_concolor","I_00013a.JPG","1 ind","Puma concolor",1,"Especies|Puma concolor, Individuos|1 ind"
"75","CAM_9","Dicotyles crassus",2019-09-25 20:52:06,2019-09-25,"20:52:06",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_9/Dicotyles_crassus","I_00005a.JPG","3 ind","Dicotyles crassus",1,"Individuos|3 ind, Especies|Dicotyles crassus"
"76","CAM_9","Dicotyles crassus",2019-09-25 20:53:22,2019-09-25,"20:53:22",76,1.3,0,0,"UMA_OCOTONES_CHIS/CAM_9/Dicotyles_crassus","I_00006a.JPG","1 ind","Dicotyles crassus",1,"Especies|Dicotyles crassus, Individuos|1 ind"
"77","CAM_9","Dicotyles crassus",2019-09-25 20:54:22,2019-09-25,"20:54:22",60,1,0,0,"UMA_OCOTONES_CHIS/CAM_9/Dicotyles_crassus","I_00007a.JPG","3 ind","Dicotyles crassus",1,"Individuos|3 ind, Especies|Dicotyles crassus"
"78","CAM_9","Dicotyles crassus",2019-09-25 20:55:28,2019-09-25,"20:55:28",66,1.1,0,0,"UMA_OCOTONES_CHIS/CAM_9/Dicotyles_crassus","I_00008a.JPG","1 ind","Dicotyles crassus",1,"Especies|Dicotyles crassus, Individuos|1 ind"
"79","CAM_9","Dicotyles crassus",2019-09-25 20:56:34,2019-09-25,"20:56:34",66,1.1,0,0,"UMA_OCOTONES_CHIS/CAM_9/Dicotyles_crassus","I_00009a.JPG","2 ind","Dicotyles crassus",1,"Individuos|2 ind, Especies|Dicotyles crassus"
"80","CAM_9","Dicotyles crassus",2019-09-25 20:57:50,2019-09-25,"20:57:50",76,1.3,0,0,"UMA_OCOTONES_CHIS/CAM_9/Dicotyles_crassus","I_00010a.JPG","2 ind","Dicotyles crassus",1,"Individuos|2 ind, Especies|Dicotyles crassus"
"81","CAM_9","Didelphis virginiana",2019-10-15 22:27:42,2019-10-15,"22:27:42",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_9/Didelphis_virginiana","I_00012a.JPG","1 ind","Didelphis virginiana",1,"Individuos|1 ind, Especies|Didelphis virginiana"
"82","CAM_9","Eira barbara",2019-09-20 15:58:30,2019-09-20,"15:58:30",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_9/Eira_barbara","I_00003a.JPG","1 ind","Eira barbara",1,"Individuos|1 ind, Especies|Eira barbara"
"83","CAM_9","Nasua narica",2019-10-08 12:58:22,2019-10-08,"12:58:22",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_9/Nasua_narica","I_00011a.JPG","1 ind","Nasua narica",1,"Especies|Nasua narica, Individuos|1 ind"
"84","CAM_9","Puma concolor",2019-09-22 11:09:55,2019-09-22,"11:09:55",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_9/Puma_concolor","I_00004a.JPG","1 ind","Puma concolor",1,"Especies|Puma concolor, Individuos|1 ind"
